Date,Temp,Rain
1.03.2021,0.6,0
2.03.2021,3.4,0.4
3.03.2021,0.8,0.2
4.03.2021,1.3,1.5
5.03.2021,-3.5,1
6.03.2021,-6.7,0
7.03.2021,-5.2,3.8
8.03.2021,-6.3,3.6
9.03.2021,-12.1,0
10.03.2021,-16.5,0
11.03.2021,-12.9,0
12.03.2021,-9.6,0
13.03.2021,-4.4,3
14.03.2021,0.1,3.3
15.03.2021,2.6,4
16.03.2021,1.7,1
17.03.2021,0.7,0.1
18.03.2021,0.5,0.2
19.03.2021,-0.3,1
20.03.2021,-2.3,0
21.03.2021,-1.6,1.5
22.03.2021,0.7,1.4
23.03.2021,-1.1,0
24.03.2021,-0.6,0
25.03.2021,4.4,0
26.03.2021,3.8,0
27.03.2021,5.2,0
28.03.2021,4,0
29.03.2021,4,0
30.03.2021,4,0.9
31.03.2021,4.2,7.3
1.04.2021,6.1,4
2.04.2021,2.7,6.5
3.04.2021,2,0.6
4.04.2021,3,0
5.04.2021,4.8,0
6.04.2021,7.1,0
7.04.2021,6.8,2.1
8.04.2021,2.3,14
9.04.2021,3.9,0
10.04.2021,6.9,0
11.04.2021,10,0
12.04.2021,10.4,0
13.04.2021,15.2,0
14.04.2021,16.9,0
15.04.2021,13.8,0
16.04.2021,12.3,0
17.04.2021,12.7,0
18.04.2021,10.7,0
19.04.2021,10.1,0
20.04.2021,5.8,6
21.04.2021,3.8,12.1
22.04.2021,9.6,0
23.04.2021,10.2,11
24.04.2021,4.2,17
25.04.2021,3.8,0.9
26.04.2021,5.2,0
27.04.2021,2.9,10.6
28.04.2021,4.8,3
29.04.2021,6.7,0.6
30.04.2021,10.4,2
1.05.2021,9.8,4
2.05.2021,10,0
3.05.2021,12.1,9
4.05.2021,6.1,2
5.05.2021,8.2,1.1
6.05.2021,11.1,0.6
7.05.2021,10.8,0
8.05.2021,9,39
9.05.2021,7.6,1
10.05.2021,10.8,0
11.05.2021,14.6,0
12.05.2021,15.4,3
13.05.2021,14.8,0.1
14.05.2021,15.9,0.3
15.05.2021,18.8,0.5
16.05.2021,17.9,0
17.05.2021,21.2,0
18.05.2021,24.7,0
19.05.2021,22.6,0
20.05.2021,17,0.7
21.05.2021,13.5,0.3
22.05.2021,15,0
23.05.2021,16.7,0.7
24.05.2021,15.6,0
25.05.2021,15.7,0
26.05.2021,17.8,0
27.05.2021,17.3,8
28.05.2021,18.5,1
29.05.2021,14.8,22
30.05.2021,10.8,0
31.05.2021,10,0
1.06.2021,11.7,0
2.06.2021,14.9,0
3.06.2021,15.9,0
4.06.2021,17.2,0
5.06.2021,18.4,0
6.06.2021,17.6,0.8
7.06.2021,17.6,0.8
